,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
0,0.9492888224624458,0.0,0.9597989949748742,0.1342857142857142,0.951730539716218,0.0177133655394524,0.4524650917891025,0.0,0.0,1
1,0.93987717171607,0.7635212888377446,0.0,0.0,0.9032331587322636,0.0756843800322061,0.0,0.0,0.0,5
2,0.923503477951825,0.8009205983889529,0.8844221105527638,0.3571428571428571,0.966450072934624,0.0595813204508856,0.4904261890055589,0.0,0.2745098039215686,2
3,0.932872153124018,0.827963176064442,0.0,0.52,0.966184856119878,0.2270531400966183,0.0,0.914285714285714,0.0,7
4,0.9687997331421494,0.0,0.0,0.2028571428571428,0.9490783715687574,0.003220611916264,0.0,0.0,0.0,1
5,0.0,0.8239355581127734,0.8190954773869346,0.6342857142857143,0.0,0.0,0.3576281655342804,0.5174603174603174,0.0888480392156862,7
6,0.8483799978879265,0.7255466052934407,0.902010050251256,0.3742857142857143,0.9718870176369184,0.0933977455716586,0.4524650917891025,0.0707780379911527,0.0,1
7,0.9249216718999094,0.7502876869965478,0.8542713567839195,0.36,0.9681739822304736,0.0,0.5299567634342186,0.0,0.0,3
8,0.9281448399637372,0.7405063291139241,0.8743718592964823,0.38,0.9685718074525926,0.0901771336553945,0.5206917850525015,0.0,0.0,1
9,0.9313680080275644,0.7767548906789414,0.8442211055276381,0.4657142857142856,0.0,0.0917874396135265,0.4524650917891025,0.0,0.1764705882352941,3
10,0.9284026934088424,0.8457997698504028,0.0,0.6685714285714285,0.9717544092295451,0.0,0.5528103767757875,0.2095238095238095,0.0,7
11,0.0,0.6786125267137925,0.7211055276381909,0.3399999999999999,0.965919639305132,0.0885668276972624,0.5577516985793699,0.0,0.0,1
12,0.8122744635045285,0.7491369390103568,0.9095477386934672,0.3028571428571429,0.9592892189364808,0.1030595813204508,0.5639283508338481,0.0,0.2941176470588235,2
13,0.926984499460759,0.7399309551208286,0.8994974874371858,0.3742857142857143,0.9628696459355524,0.0982286634460547,0.5429277331686225,0.0,0.0,3
14,0.9308093255631684,0.7301495972382048,0.5707849592791543,0.3828571428571428,0.9673783317862352,0.0,0.4524650917891025,0.0,0.0,1
15,0.9241051359904064,0.7479861910241657,0.8994974874371858,0.44,0.965787030897759,0.0982286634460547,0.4966028412600369,0.0,0.0,2
16,0.9275861574993404,0.7894131185270427,0.0,0.0,0.955576183530036,0.1030595813204508,0.4867201976528721,0.0,0.0,2
17,0.9254373787901224,0.851553509781358,0.0,0.5685714285714285,0.9695000663042036,0.0,0.5114268066707843,0.5428571428571428,0.0,7
18,0.9227728931906912,0.73590333716916,0.9070351758793967,0.4628571428571428,0.9676435486009812,0.1030595813204508,0.4984558369363804,0.0707780379911527,0.0,1
19,0.9254158910030296,0.6786125267137925,0.0,0.8685714285714285,0.9346240551650976,0.0782950275703898,0.0,0.0,0.0,5
20,0.9189910426624666,0.8716915995397009,0.0,0.6428571428571428,0.974671794191752,0.0,0.5151327980234712,0.1999999999999999,0.0,7
21,0.9293051804667148,0.7399309551208286,0.8944723618090452,0.3628571428571428,0.0,0.0869565217391304,0.0,0.0,0.0888480392156862,1
22,0.8122744635045285,0.0,0.5707849592791543,0.4314285714285714,0.9696326747115768,0.1111111111111111,0.4916615194564546,0.0,0.0,2
23,0.9265977192931,0.6786125267137925,0.0,0.5685714285714285,0.9688370242673386,0.0,0.0,0.5047619047619047,0.0,7
24,0.9391465869549354,0.6786125267137925,0.8994974874371858,0.3771428571428571,0.951067497679353,0.0193236714975845,0.5355157504632488,0.219047619047619,0.0,1
25,0.9332159577174926,0.739355581127733,0.922110552763819,0.3542857142857142,0.9623392123060602,0.0782950275703898,0.5361334156886967,0.0,0.6862745098039215,2
26,0.9374275639875612,0.7934407364787112,0.0,0.3399999999999999,0.964858772046148,0.0,0.6034589252625077,0.0,0.0,6
27,0.930465520969693,0.739355581127733,0.5707849592791543,0.3514285714285714,0.0,0.0982286634460547,0.0,0.0285714285714285,0.4313725490196078,1
28,0.9492028713140774,0.8164556962025317,0.9497487437185927,0.26,0.946293595013924,0.037037037037037,0.4524650917891025,0.0,0.0,3
29,0.8122744635045285,0.7445339470655927,0.9070351758793967,0.36,0.9647261636387748,0.0901771336553945,0.5311920938851142,0.0,0.0,2
30,0.0,0.6786125267137925,0.2537688442211055,0.3885714285714285,0.9032331587322636,0.0531400966183574,0.4524650917891025,0.0,0.0,2
31,0.0,0.7652474108170312,0.9045226130653266,0.3257142857142857,0.9692348494894576,0.0933977455716586,0.5046324891908586,0.0,0.0,1
32,0.9444755581537968,0.7848101265822786,0.0,0.3142857142857143,0.9518631481235912,0.0096618357487922,0.5404570722668314,0.0,0.0,1
33,0.9192488961075728,0.8544303797468356,0.0,0.6914285714285714,0.9775891791539584,0.0,0.5182211241507103,0.1777777777777777,0.0,7
34,0.923374551229272,0.7669735327963176,0.8869346733668341,0.3641125541125539,0.9032331587322636,0.0901771336553945,0.5145151327980234,0.0,0.0,3
35,0.9453350696374844,0.8072497123130035,0.5707849592791543,0.1657142857142857,0.9519957565309642,0.0177133655394524,0.596046942557134,0.0,0.0,3
36,0.921612552687713,0.761795166858458,0.0,0.42,0.9713565840074262,0.0611916264090177,0.4959851760345892,0.0,0.0,2
37,0.9360523456136604,0.0,0.9095477386934672,0.3171428571428571,0.9632674711576716,0.0225442834138486,0.5410747374922792,0.0,0.0,1
38,0.9354936631492644,0.7744533947065594,0.9623115577889446,0.0,0.9032331587322636,0.0917874396135265,0.5071031500926498,0.0,0.2745098039215686,2
39,0.9226439664681384,0.0,0.8668341708542713,0.4085714285714285,0.970295716748442,0.0982286634460547,0.4524650917891025,0.0,0.0,2
40,0.9246638184548032,0.7220943613348678,0.0,0.5342857142857143,0.9710913671926802,0.1014492753623188,0.4990735021618283,0.0,0.1764705882352941,2
41,0.8483799978879265,0.7163406214039125,0.6809045226130652,0.3685714285714285,0.9773239623392124,0.0901771336553945,0.5596046942557134,0.0,0.4705882352941176,1
42,0.0,0.7439585730724971,0.5707849592791543,0.4457142857142857,0.9032331587322636,0.0933977455716586,0.5281037677578753,0.0,0.2352941176470588,2
43,0.8122744635045285,0.6786125267137925,0.5707849592791543,0.4028571428571428,0.9591566105291076,0.0,0.5132798023471279,0.0,0.196078431372549,2
44,0.9261249879770714,0.7405063291139241,0.0,0.0,0.9698978915263228,0.1046698872785829,0.493514515132798,0.0707780379911527,0.0,2
45,0.9312390813050112,0.73590333716916,0.879396984924623,0.32,0.9684391990452196,0.1030595813204508,0.5416924027177269,0.0,0.0888480392156862,1
46,0.929391131615084,0.7376294591484466,0.8919597989949748,0.4257142857142857,0.9647261636387748,0.0869565217391304,0.5262507720815317,0.0707780379911527,0.3725490196078431,1
47,0.0,0.0,0.0,0.0,0.9969500066304204,0.4347826086956521,0.5515750463248918,0.0,0.0,7
48,0.949675602630105,0.830264672036824,0.0,0.2857142857142857,0.9636652963797906,0.0161030595813204,0.7115503397158739,0.0,0.1568627450980392,2
49,0.8122744635045285,0.0,1.0,0.3371428571428571,0.961278345047076,0.0933977455716586,0.5033971587399629,0.0707780379911527,0.0,2
50,0.9485582377013122,0.8262370540851554,0.5707849592791543,0.0,0.946293595013924,0.0241545893719806,0.5651636812847437,0.0,0.0,1
51,0.9260820124028868,0.7652474108170312,0.914572864321608,0.4371428571428571,0.9618087786765682,0.1046698872785829,0.4959851760345892,0.0,0.5686274509803921,2
52,0.9100091476579344,0.0,0.4371859296482411,0.0,0.9885956769659195,0.0,0.4688079061148857,0.0,0.0,6
53,0.9353217608525268,0.8624856156501727,0.1959798994974874,0.4971428571428571,0.961410953454449,0.0,0.6145768993205681,0.0,0.0,6
54,0.9475268239208868,0.7773302646720369,0.5707849592791543,0.2514285714285714,0.9519957565309642,0.0782950275703898,0.5892526250772081,0.0,0.2156862745098039,1
55,0.9265117681447306,0.8377445339470657,0.0,0.5657142857142857,0.9718870176369184,0.0,0.0,0.4984126984126984,0.0888480392156862,7
56,0.9335167867367824,0.7715765247410817,0.9773869346733668,0.38,0.9598196525659728,0.0821256038647343,0.5114268066707843,0.0707780379911527,0.0,2
57,0.9362242479103982,0.7991944764096663,0.8869346733668341,0.3771428571428571,0.9522609733457102,0.0821256038647343,0.5423100679431747,0.0707780379911527,0.0,1
58,0.9225150397455852,0.7376294591484466,0.8844221105527638,0.3641125541125539,0.966184856119878,0.1111111111111111,0.4922791846819023,0.0,0.0888480392156862,2
59,0.953027697416486,0.7658227848101267,0.8994974874371858,0.2342857142857142,0.9546479246784246,0.0193236714975845,0.62816553428042,0.0,0.0588235294117647,1
